PN,INVENTOR
04126035,Harold Kosasky
04129478,Jean-Claude Higelin
04129478,Roland Engelhardt
04129478,Wolfgang Mindt
04129478,Philippe Racine
04129483,Barry R. Bochner
04130395,Chryssanthos P. Chryssanthou
04131544,Nasik Elahi
04131648,Nam S. Choi
04131648,Jorge Heller
04131800,Michael Inbar
04131800,Avraham Bruck
04132768,Michio Ui
04132768,Yukiko Tokumitsu
04133639,Richard A. Harte
04133714,Susanna M. Karpacheva
04133714,Valerian M. Muratov
04133714,Viktor P. Serebryakov
04133714,Jury S. Ivanov
04133714,Viktor A. Shiyanov
04133714,Lazar O. Ioffe
04133714,Irina S. Kukurechenko
04133714,Jury P. Vorobiev
04133863,Elmer A. Koenig
04135131,Lawrence E. Larsen
04135131,John H. Jacobi
04136159,Marcia J. Stone
04136161,Frank J. Falkowski
04136161,Leonard T. Wilson
04137299,"Joseph P. DiMaggio, Jr."
04138213,Pierre L. Masson
04138213,"Joseph Heremans, deceased"
04139303,F. Paul Carlson
04139303,Charles K. Lee
04139348,Mitchell R. Swartz
04139415,Ee T. Yin
04139415,Oddvar Tangen
04140580,Michael C. Meyer
04140580,Sandra F. Gibson
04140582,Rolf Saxholm
04141687,Gordon C. Forrest
04141687,John A. Clements
04141687,Ronald F. Jay
04141965,John F. Soothill
04141965,Roland J. Levinsky
04142938,Robert D. Crouch
04142938,William S. Stavropoulos
04142939,Stephen A. Morse
04142939,Barbara Iglewski
04143124,Pierre L. Masson
04143124,Joseph F. Heremans
04143188,"Wernhard Huber-Nuesch, deceased"
04143188,"by Fabienne Huber, heir"
04143188,"by Ariane Huber, heir"
04143554,Andrew P. Proudian
04143554,Art Nagy
04144143,Harlie L. Landrum
04144143,Fredrick M. Hawkridge
04145185,Marjorie S. Read
04145185,Kenneth M. Brinkhous
04145279,"Howard W. Selby, III"
04146454,Norman Haber
04146604,Marcos Y. Kleinerman
04147624,Michael Modell
04148869,Carlton D. Deaton
04150360,Richard E. Kopp
04150360,Jay Mendelsohn
04150360,Martin R. Wohlers
04150360,Benjamin J. Pernick
04150360,Harvey Stone
04150360,Joseph Lisa
04150949,David S. Smith
04151043,Rabindra N. Bhattacharyya
04152592,Orlando G. Molina
04153511,Ivan E. Modrovich
04154230,Robert D. Lee
04154685,Oliver Marcotte
04155846,Leo J. Novak
04155846,Paul H. Bowdle
04156304,Robert D. Lee
04158544,Allan L. Louderback
04158547,Robert Rousseau
04158547,Charles A. Manganaro
04160018,Knut B. Bjorklund
04160019,Knut B. Bjorklund
04160601,Jacqueline M. Jacobs
04160803,Robert S. Potts
04160818,David S. Smith
04160818,Adrienne R. McGregor
04161437,Wolfgang Fleckenstein
04161488,Houston F. Voss
04161488,Susan E. Magic
04161488,Jacob J. Plattner
04161507,Wolfgang Hirsch
04161948,Daniel Bichon
04162195,Bengt Boman
04162195,Hakan Bjorndal
04162195,Peter Solyom
04162500,Lawrence E. Larsen
04162500,John H. Jacobi
