PN,CPC
09267917,G02B
06955844,Y10T
07557929,G01J
05494639,G01N
05156810,B01J
07564172,H01L
07363166,G16B
09415015,A61J
08906627,B81C
08685740,A61K
09707319,A61B
04388295,G01N
09032782,G01N
08211701,G01L
09896730,C12Q
10233418,B05B
07947379,Y10T
09381493,B01J
05559040,Y10T
08697334,G09F
08057999,Y10T
09050778,Y10T
09097036,G01S
04769320,C07K
05135876,G01N
08741558,C12N
06309845,A01K
09311722,G01N
10092617,Y10T
10093972,G01N
08568999,G01N
05629213,B82Y
06528809,G01N
07491497,B01L
06868308,Y10S
04891313,G01N
07847245,H01J
07553664,A61L
08551940,C12Y
08383059,C12N
06096271,G01N
08106155,G01N
05372820,B01J
09533011,Y10T
10191063,Y02A
07087661,A61K
09061159,Y10T
09994812,B01L
08741258,Y02P
08034321,B82Y
05173433,Y10S
07199362,G01N
09228955,G01N
06241863,B82Y
07955997,B03C
06726880,C07K
04717673,G11C
05683915,Y10T
06436635,B01J
09968881,B01D
05855987,A61L
05863708,B01F
09173779,C12M
09447373,A01N
06485841,Y02E
08197924,B32B
09752184,C12Q
05928868,C12N
05661035,C09B
05855785,B01D
09155980,B01D
06510237,G02B
05534224,Y10T
10182730,Y10T
07005500,A61K
04272398,B29K
10018635,G01N
06992278,B01L
05496703,G01N
08487131,C07D
08349276,B81C
06921638,C40B
06372428,C07K
09988651,Y02P
07153519,C08L
09440480,B32B
05151264,Y10S
06440663,C12Q
07684844,G01N
07981385,G01N
09422566,C12N
09597653,C08F
09914126,B01L
06054282,G01N
05480711,B29K
06501002,A61L
10036689,A61B
09816935,G01N
06982166,B01L
04870003,G01N
06451373,Y10T
04204018,C08J
09446998,Y02E
07202346,G01N
06767714,G01N
08277926,Y10T
08551308,C12Q
03979184,Y10S
05474907,Y10S
07871570,B29C
08772281,A61K
05807689,C07K
09810693,B82Y
05811252,C12Y
07063877,Y10T
07445897,C12Q
08557517,C12Q
08980772,Y10T
08617489,B01L
09310263,G01K
06197503,G01N
04804529,A61K
05525522,Y10T
07901039,B01J
09534174,Y02P
06022716,C12Q
08263071,G01N
08758704,B29C
06261824,C07K
07339045,C07K
05187061,C12N
08373302,H02J
06662113,C12Q
05429929,G01N
08227262,Y10T
08129159,C08F
08696884,C12Q
09097054,Y10T
09512435,G01N
09877706,B01L
09910051,C07F
09934937,H01J
07217396,C40B
07959875,B01L
09057677,H04B
10081772,Y02E
06113768,B03C
07015004,G01N
08518343,B01F
09365879,C12N
08545761,Y10T
10028690,B01L
08388877,D04H
06713298,B01L
08652831,C12Q
06635469,G01N
09810211,G05D
06407039,Y10T
04420353,Y10T
08333970,G01N
08327724,B01L
07170696,G02B
05910545,D04H
10094822,C12Q
05973114,C07K
09127313,G01N
04235707,B03B
09059532,H01R
09060824,Y10T
09868993,H05K
07846315,G01N
08894971,C07D
09550597,B65B
09249362,Y02P
09793100,H01J
08895006,Y02A
05964994,G01N
09291567,G01N
08815538,C12Q
08931379,A61B
06287793,Y10S
07733488,G01N
09561676,B29L
06093695,Y10S
08106052,G01N
09962691,B01J
05840585,Y10T
04826573,C10B
06663954,Y02P
06605476,Y10S
09403985,C09B
08024293,G01N
07223363,B01L
05874527,G01N
06594432,G01N
07521023,G01N
06406841,C12N
07879330,G01N
06120002,B65H
09803196,C12N
07087165,G01N
04169339,E02D
09453848,A61K
07179592,B01D
07393629,B01L
07303924,B01J
06248527,C12Q
09045362,Y10T
09883854,G01N
08486641,C07K
04254170,B29K
09164102,G01N
08835108,C07K
09990464,B01L
09052327,H01J
05744366,B01J
06046807,G01N
09555411,B01L
09896714,G01N
06323036,G01N
08388706,C10J
08211636,C40B
08048502,Y10S
08304253,B01L
06319724,Y10T
08889776,B29C
09393564,H01J
07379823,G16B
09770202,G01N
07861540,B25J
09851368,G01N
07332344,C12Q
08886277,A61B
07534584,Y10S
09139663,C08J
08338650,B01J
08647419,A62D
09922508,G01N
10042983,G16H
07258979,C12Q
06207385,C12Q
09289761,Y10T
06329340,Y10S
08460692,A61L
05589277,Y10T
06767635,Y10T
07250517,Y10T
04663364,Y10S
08511479,B01L
09522502,B29K
09932629,C12Q
05973137,Y10T
06565789,G01N
08709731,Y10T
07123359,G11B
06287776,H01J
09146240,C07K
08334324,C08F
08043563,G01N
08658326,C23F
07060427,C07C
07407633,A61L
08252903,A61K
04652441,B01J
08403527,G02B
09061085,G01N
08728797,G01N
10012607,Y10T
06300164,Y10T
09078426,B82Y
07115363,G01N
09222119,C07K
04327073,Y10S
08093069,B82Y
08647861,C12M
07649496,H01L
09233788,C12Q
08966735,G01R
07172896,B03C
05857462,G01N
07335499,G01N
08283139,B01J
06846804,C40B
09017970,C12P
09322103,B01D
07008537,C02F
07935989,B82Y
06689359,G01N
04048416,Y10S
05080225,B01L
05017342,G01N
06855419,Y10T
09052318,G01N
05990271,Y10T
08404051,Y10T
08961978,A61K
05869273,G01N
06562573,C08L
07060689,A61K
08492315,G01N
06862396,B82Y
07614135,Y10T
09063156,C12Q
07265298,A61B
07141655,Y10S
10036057,G01N
05200051,G01N
05770440,C12Q
07858047,F16K
08105520,Y10T
09804066,G01N
05843743,A61K
05696175,Y10T
08131479,G01N
08958999,G01N
08586365,Y10T
08470541,G01N
09034578,G01S
10240185,Y02A
04728502,B01J
06040493,Y10T
04189401,G01N
08846034,G01N
05856101,C07K
07183337,H01M
09792411,G16H
06080385,G01N
09339802,B01J
08815519,G01N
08748110,C07K
06649735,G01N
06127115,C12Q
08685657,G01N
07477384,G01N
09084728,A61L
05624798,G01N
06362246,C09D
08592462,G01N
06783947,G01N
07419601,C12H
04206080,B01J
06632605,B82Y
08947230,G08B
07723313,A61K
07471399,B01L
09035250,G01N
05846740,Y10S
05578314,A61L
05622868,G01N
06261808,C12N
08900620,A61M
07151167,B82Y
06461734,C03C
09944714,C07K
05273632,G01N
10045694,G01N
08176758,E05C
08178502,A61K
06778724,Y10T
09255905,B01L
09801998,A61M
04885141,C23F
09409018,A61N
06136195,G01N
08470259,B01L
08431340,B01F
09359632,C12Q
09579830,B29C
05356786,Y10S
06280932,C12Q
06451225,C07F
04550084,Y10T
08409342,C09D
09837677,C02F
07332197,Y10T
05128265,C12Q
06255051,C12Q
09795696,C07K
07914997,Y10T
08940357,A61L
04952402,A23G
09597654,B01D
09789463,G06F
08492734,G01N
08551721,C12Q
05639671,B82Y
07270963,C12N
07993583,B01L
08275438,G16H
09932574,B01L
04777021,Y10T
